,Eventdata
17731,"[[], [[12.0, 0.5973055134637899, 0.01930662536688366, 0.0, 0, 0.5011012541075327, 0.009839655537178115], 1], [], [0.04414478689432144, 0.15910787880420685, 0.7967473268508911], 1]"
17732,"[[], [], [], [0.7636964917182922, 0.12109208852052689, 0.11521144956350327], 1]"
17733,"[[], [], [], [0.12092778831720352, 0.4969693422317505, 0.3821028769016266], 1]"
17734,"[[[23.0, 0.5793207447644753, 0.03957585037360155, 0.0, 0, 0.5379992798576984, 0.011418275183674902], 1], [], [], [0.058300722390413284, 0.22303801774978638, 0.7186612486839294], 1]"
17735,"[[[16.0, 0.3444366238838626, 0.032689873445357676, 1.0, 11, 0.1932237849523246, 0.0056197208679759775], 1], [[16.0, 0.3828275784969302, 0.08041482119131046, 0.0, 0, 0.30475113921367764, 0.01767748842141466], 0], [], [0.08290590345859528, 0.8247324824333191, 0.09236159920692444], 1]"
17736,"[[[12.0, 0.774120080123717, 0.014598715222762113, 0.0, 0, 0.7707859149212574, 0.007017637113992291], 1], [], [], [0.048571452498435974, 0.14665181934833527, 0.8047767281532288], 1]"
17737,"[[], [[17.0, 0.41450853550581446, 0.06054624594691408, 0.0, 0, 0.3731072637183678, 0.02044277395409304], 1], [], [0.10414541512727737, 0.5947875380516052, 0.3010670244693756], 1]"
17738,"[[], [[14.0, 0.38876453486882917, 0.049052702358595865, 0.0, 6, 0.2608723300075672, 15.766577623957119], 1], [], [0.10389493405818939, 0.38499215245246887, 0.5111129283905029], 1]"
17739,"[[[17.0, 0.6731914576253352, 0.00500380699103366, 0.0, 18, 0.660533881532354, 0.0016667982274062726], 1], [], [], [0.7792921662330627, 0.0721483826637268, 0.14855948090553284], 1]"
17740,"[[], [[21.0, 0.48867158505820374, 0.03654696973475674, 2.0, 12, 0.4609093683246872, 0.011304319878111486], 1], [], [0.3594427704811096, 0.5185131430625916, 0.12204410135746002], 1]"
17741,"[[[16.0, 0.39660010933765355, 0.022414612940726122, 2.0, 20, 0.3590776047106897, 0.005737112267855455], 1], [], [], [0.09783584624528885, 0.26595112681388855, 0.6362130045890808], 1]"
17742,"[[[16.0, 0.6962581325648152, 0.011271938461578609, 2.0, 4, 0.6705804403765852, 0.0022938355428711093], 1], [], [], [0.11507301777601242, 0.6677977442741394, 0.21712926030158997], 1]"
17743,"[[[11.0, 0.3307560128286447, 0.06582493216375399, 1.0, 11, 0.18294037323623122, 0.008634653153149343], 1], [], [], [0.18648146092891693, 0.6025987863540649, 0.21091976761817932], 1]"
17744,"[[[20.0, 0.27156391492690846, 0.05075155724490523, 2.0, 20, 0.14946261021833399, 0.012144977303745969], 1], [], [[20.0, 0.3301960471644832, 0.06157022155021429, 3.0, 13, 0.19428873119147813, 0.01787083066658475], 1], [0.22954565286636353, 0.5693864822387695, 0.20106787979602814], 1]"
17745,"[[], [], [[8.0, 0.479120371628629, 0.07448353844201568, 1.0, 1, 0.3970636724918869, 0.01650910362594476], 1], [0.20019595324993134, 0.5636163949966431, 0.2361876517534256], 1]"
17746,"[[], [[15.0, 0.5047812007292306, 0.0656058522332021, 0.0, 0, 0.42856604565787276, 0.012459469538278709], 1], [], [0.18244428932666779, 0.6818876266479492, 0.135668084025383], 1]"
17747,"[[], [[17.0, 0.4414579855716508, 0.032448296292777616, 1.0, 7, 0.3197841874052187, 0.006711402220757804], 1], [], [0.07362106442451477, 0.3692791163921356, 0.5570998191833496], 1]"
17748,"[[[8.0, 0.3647151079434315, 0.03423670619819846, 3.0, 13, 0.18767142333506073, 0.004084252540959847], 1], [[8.0, 0.6582323577354845, 0.011522323762219741, 2.0, 2, 0.6065335731486516, 0.004499856487368287], 1], [], [0.1343952864408493, 0.3059294819831848, 0.5596752166748047], 1]"
17749,"[[[17.0, 0.21894913799313556, 0.06632021786508759, 4.0, 26, 0.09329397752576252, 0.01870799430469359], 0], [], [], [0.086673803627491, 0.5291426181793213, 0.3841835558414459], 1]"
17750,"[[[18.0, 0.4646832743413905, 0.041950601998484376, 0.0, 0, 0.331132573213568, 0.011340006074452827], 1], [], [], [0.052602559328079224, 0.2726477384567261, 0.6747497320175171], 1]"
17751,"[[[11.0, 0.462113057318979, 0.06705811450699634, 0.0, 0, 0.34044823906083244, 0.011056682916734041], 1], [], [], [0.04722478240728378, 0.21868880093097687, 0.7340864539146423], 1]"
17752,"[[[18.0, 0.629172467389517, 0.023232541176287133, 1.0, 1, 0.6102717038439106, 0.015126812920775827], 0], [], [], [0.05310695990920067, 0.22300542891025543, 0.7238876223564148], 1]"
17753,"[[[7.0, 0.40891819301774385, 0.025393048919034936, 1.0, 17, 0.33048618707380084, 0.004638683903639119], 1], [], [], [0.07687101513147354, 0.6913806796073914, 0.2317483276128769], 1]"
17754,"[[[19.0, 0.4999097533042073, 0.03642317904920178, 0.0, 0, 0.30512514898688914, 0.004882790810765434], 1], [[19.0, 0.3921169291638816, 0.03437917569389997, 3.0, 13, 0.24929386821607843, 0.008706801811970111], 1], [], [0.07831453531980515, 0.5087745785713196, 0.4129108786582947], 1]"
17755,"[[], [[16.0, 0.33336202447743024, 0.10725837437329927, 2.0, 12, 0.2192059204565661, 0.018090825862276932], 0], [], [0.3475257456302643, 0.3850787878036499, 0.2673954665660858], 1]"
17756,"[[], [[15.0, 0.5412312683043244, 0.03541051534180062, 0.0, 0, 0.47796539092467655, 0.014604868260472805], 1], [], [0.0871366634964943, 0.6398599147796631, 0.2730034589767456], 1]"
17757,"[[[17.0, 0.6491532356027494, 0.008843561096150034, 0.0, 0, 0.5304281614244714, 0.00275044340990306], 1], [], [], [0.0625399500131607, 0.26635992527008057, 0.6711001396179199], 1]"
17758,"[[[25.0, 0.581366746089465, 0.038507255142442395, 0.0, 0, 0.517677227362306, 0.009356011705039755], 1], [], [], [0.07558365166187286, 0.27749910950660706, 0.6469172239303589], 1]"
17759,"[[[22.0, 0.3794512110521942, 0.02767842904271803, 4.0, 22, 0.3295894349398923, 0.007098913593518405], 1], [], [], [0.10922540724277496, 0.43028029799461365, 0.4604943096637726], 1]"
17760,"[[[10.0, 0.29136278306935887, 0.038570712621629887, 3.0, 19, 0.21383043160551735, 0.0056194724517650806], 1], [], [], [0.8074139356613159, 0.11086169630289078, 0.0817243829369545], 1]"
17761,"[[[14.0, 0.48503704241909723, 0.014672546224969985, 3.0, 15, 0.37566811109717924, 0.006476370401983492], 1], [[14.0, 0.5594678249340255, 0.00765038209395218, 1.0, 9, 0.5256701493272223, 0.0013518807336538612], 1], [], [0.05520588904619217, 0.3189316689968109, 0.6258624196052551], 1]"
17762,"[[[10.0, 0.518988950119929, 0.05537970408993176, 0.0, 0, 0.4573253549994313, 0.012140588405115154], 1], [], [], [0.048010338097810745, 0.15650996565818787, 0.7954797148704529], 1]"
17763,"[[[9.0, 0.6383109971678428, 0.009610376721470247, 0.0, 0, 0.5369547247752472, 0.013465966046758756], 1], [], [], [0.04889949783682823, 0.1516922116279602, 0.7994082570075989], 1]"
17764,"[[[11.0, 0.46593472548604803, 0.0225415146412426, 2.0, 6, 0.3241585489852951, 0.0037140692923788078], 1], [], [[11.0, 0.26769416325575235, 0.07408874248420487, 0.0, 16, 0.12880245747821617, -817252.0548814196], 0], [0.09060904383659363, 0.42071568965911865, 0.4886752665042877], 1]"
17765,"[[[15.0, 0.4598929305236106, 0.017444997359029508, 1.0, 9, 0.4202133896119123, 0.002639701524265888], 1], [], [], [0.1141069084405899, 0.5349871516227722, 0.3509059250354767], 1]"
17766,"[[[21.0, 0.4652286350848148, 0.023301068351816133, 0.0, 12, 0.39133285555267533, 0.005060706864893285], 1], [], [], [0.7046042084693909, 0.16577652096748352, 0.1296192705631256], 1]"
17767,"[[], [[14.0, 0.561524832008389, 0.022088733316616493, 1.0, 7, 0.5052287555521734, 0.004909947744940846], 1], [], [0.5784057974815369, 0.2546629011631012, 0.16693130135536194], 1]"
17768,"[[[14.0, 0.3557073685707825, 0.03484470398175483, 3.0, 7, 0.22261731118577485, 0.00575586317947474], 1], [], [], [0.8684666752815247, 0.06934776157140732, 0.062185563147068024], 1]"
17769,"[[], [[16.0, 0.4144970396042016, 0.04035483217786518, 7.0, 9, 0.27172291527036085, 0.012202384863185391], 1], [], [0.05807780474424362, 0.2639801502227783, 0.6779420375823975], 1]"
17770,"[[], [], [[15.0, 0.3992117193642069, 0.08785301617707034, 2.0, 6, 0.30458896963262616, 0.028382536058890462], 1], [0.08700011670589447, 0.5357781648635864, 0.3772217333316803], 1]"
17771,"[[[9.0, 0.5545579497453871, 0.051655447327522044, 0.0, 0, 0.4867941981579829, 0.009101407114557772], 1], [], [], [0.05852041020989418, 0.2586710453033447, 0.682808518409729], 1]"
17772,"[[], [], [[13.0, 0.48373855761630613, 0.02973567782496304, 3.0, 9, 0.34430335634787534, 0.00920400287127165], 1], [0.08570128679275513, 0.6605698466300964, 0.25372883677482605], 1]"
17773,"[[], [[16.0, 0.4129243094456411, 0.0668827085132717, 0.0, 0, 0.347729247694657, 0.025897331803889857], 0], [], [0.17161811888217926, 0.4326688051223755, 0.39571306109428406], 1]"
17774,"[[], [[15.0, 0.5703822719143254, 0.03893774773432732, 0.0, 0, 0.536387493410972, 0.013204133261311493], 1], [], [0.21259096264839172, 0.6675092577934265, 0.11989980936050415], 1]"
17775,"[[], [[15.0, 0.4248137843568077, 0.030711004616390026, 0.0, 10, 0.28767266760540433, 0.0024649529118042504], 1], [], [0.06022762507200241, 0.3519907593727112, 0.5877816081047058], 1]"
17776,"[[], [[13.0, 0.4727145361779976, 0.08025178335837792, 0.0, 0, 0.3534801292170838, 0.015005142720902774], 1], [[13.0, 0.4482888818008393, 0.04287467275794362, 1.0, 1, 0.28537926362143995, 0.011052377646043178], 1], [0.05877227336168289, 0.27535104751586914, 0.6658766865730286], 1]"
17777,"[[[15.0, 0.30304355147987866, 0.03776829201701254, 1.0, 17, 0.18665746177601475, 0.006101040173130042], 1], [], [], [0.13415062427520752, 0.751443088054657, 0.11440626531839371], 1]"
17778,"[[[17.0, 0.562745152543062, 0.03610317362297881, 0.0, 0, 0.511269145201322, 0.009516824517107227], 1], [], [], [0.05535956472158432, 0.20876416563987732, 0.7358762621879578], 1]"
17779,"[[[15.0, 0.4962517664972169, 0.012207703835935965, 5.0, 13, 0.39751878528642953, 0.005661617120177662], 1], [[15.0, 0.5313265561419256, 0.038475328404481986, 0.0, 0, 0.45235994185759404, 0.008458721844218784], 1], [], [0.258969247341156, 0.6112619042396545, 0.12976884841918945], 1]"
17780,"[[], [[17.0, 0.31541659817660267, 0.10064975752012448, 3.0, 11, 0.22134663309403677, -377786.7922390964], 1], [], [0.732905387878418, 0.14833441376686096, 0.11876019090414047], 1]"
17781,"[[[17.0, 0.4425899704955177, 0.012632075545643447, 4.0, 16, 0.3473204379687688, 0.0022817978203703406], 1], [[17.0, 0.5122511819951794, 0.014017412949195606, 1.0, 11, 0.45940442717748237, 0.001480157927925529], 1], [], [0.04648414999246597, 0.15687905251979828, 0.7966368198394775], 1]"
17782,"[[], [[20.0, 0.37705794497545597, 0.057016975929800526, 0.0, 10, 0.29571577847439917, 0.01835104005109979], 1], [], [0.07237077504396439, 0.5233768820762634, 0.4042523503303528], 1]"
17783,"[[], [[14.0, 0.3604687556924822, 0.05831681770099526, 2.0, 12, 0.23760978921539802, 0.01874553615032036], 1], [], [0.056647565215826035, 0.23722632229328156, 0.7061260938644409], 1]"
17784,"[[], [], [], [0.07604683935642242, 0.7152044773101807, 0.2087486982345581], 1]"
17785,"[[], [[13.0, 0.41130767521869466, 0.05084107823450228, 2.0, 8, 0.3056373429084381, 0.008453587381776491], 1], [], [0.06068642437458038, 0.4897325038909912, 0.4495810568332672], 1]"
17786,"[[], [[34.0, 0.337261196687581, 0.021024539726116467, 3.0, 19, 0.20402677085292048, 0.0028290949460305], 1], [], [0.7950223088264465, 0.08062415570020676, 0.12435352802276611], 1]"
17787,"[[], [], [], [0.13462316989898682, 0.7439043521881104, 0.12147247791290283], 1]"
17788,"[[[15.0, 0.2964952781474596, 0.03665123457016075, 2.0, 10, 0.16267797556533414, 0.005790475150004751], 1], [], [], [0.14367558062076569, 0.7222654819488525, 0.13405892252922058], 1]"
17789,"[[], [], [], [0.18076092004776, 0.33796292543411255, 0.48127618432044983], 1]"
17790,"[[[15.0, 0.448132486143247, 0.021631791272259542, 4.0, 12, 0.36425725668753556, 0.0036238663674458826], 1], [], [], [0.12101681530475616, 0.7696444988250732, 0.1093386709690094], 1]"
17791,"[[[23.0, 0.5826589163703546, 0.027811153011144903, 0.0, 0, 0.5085086995076904, 0.009442074385508628], 1], [[23.0, 0.4266781615623627, 0.03574542487003624, 1.0, 13, 0.38276270548236996, 0.007517593293086801], 1], [], [0.06573350727558136, 0.41538751125335693, 0.5188789963722229], 1]"
17792,"[[[14.0, 0.28383915571127494, 0.052082837917114946, 2.0, 16, 0.18229002514668902, 0.02282278747043621], 1], [], [], [0.06724178791046143, 0.5194413661956787, 0.41331687569618225], 1]"
17793,"[[[16.0, 0.36627986692726516, 0.009783838214669029, 1.0, 15, 0.19172074325930955, 0.0009795731496231026], 1], [], [], [0.9105532765388489, 0.05277274176478386, 0.03667395934462547], 1]"
17794,"[[], [[15.0, 0.4168847247364051, 0.05284165101908474, 0.0, 0, 0.2676343528598583, 0.021069652344861124], 1], [], [0.13818912208080292, 0.4709986746311188, 0.3908121883869171], 1]"
17795,"[[[17.0, 0.3471823459227247, 0.02617058239438487, 3.0, 15, 0.2304781074965742, 0.004268014192766606], 1], [], [], [0.05308714136481285, 0.31654906272888184, 0.6303638219833374], 1]"
17796,"[[[15.0, 0.47560342228852065, 0.018661816268709726, 1.0, 11, 0.32900864573349686, 0.0029039101128628198], 1], [], [], [0.09173446893692017, 0.7927095890045166, 0.11555592715740204], 1]"
17797,"[[[13.0, 0.2628523403756302, 0.04751392361107019, 3.0, 23, 0.14188947009036623, 0.007683574071817639], 1], [], [], [0.05923446640372276, 0.5246279835700989, 0.41613754630088806], 1]"
17798,"[[], [], [], [0.07134272903203964, 0.3480187952518463, 0.5806384682655334], 1]"
17799,"[[], [], [[20.0, 0.2997948183727348, 0.08773815095390036, 1.0, 9, 0.1414439298595391, 0.011118957178793543], 0], [0.07250915467739105, 0.37854528427124023, 0.5489455461502075], 1]"
17800,"[[], [[18.0, 0.5520344545030291, 0.04773119650503981, 1.0, 3, 0.4347091696465472, 0.01177293805543025], 1], [], [0.11004523187875748, 0.6663241386413574, 0.2236306518316269], 1]"
17801,"[[], [[15.0, 0.4070481248508437, 0.05287389677155543, 2.0, 6, 0.321405934264772, 0.005896865218877193], 1], [], [0.1479753851890564, 0.4244075417518616, 0.42761707305908203], 1]"
17802,"[[[29.0, 0.6711976288917535, 0.007540351675379023, 2.0, 10, 0.6371389957376027, 0.002057941547545646], 1], [], [], [0.12951116263866425, 0.7433842420578003, 0.12710461020469666], 1]"
17803,"[[[3.0, 0.5817080880980818, 0.08927053698171121, 0.0, 0, 0.45618801396374686, 0.014231709471137556], 1], [], [], [0.06824986636638641, 0.22638177871704102, 0.7053683400154114], 1]"
17804,"[[[16.0, 0.5899233993989705, 0.024994520787110393, 0.0, 0, 0.4797842511932536, 0.007536254198247123], 0], [], [], [0.05368306487798691, 0.23556214570999146, 0.7107548117637634], 1]"
17805,"[[[21.0, 0.5471254023634999, 0.01348262772505497, 1.0, 5, 0.40638329815513147, 0.0036982661402232557], 1], [[21.0, 0.3481225436331863, 0.04466024739162673, 5.0, 11, 0.2896764252696456, 0.017638473744539376], 0], [], [0.38176992535591125, 0.4761617183685303, 0.14206837117671967], 1]"
17806,"[[], [[16.0, 0.5102537181633003, 0.043978509568192, 0.0, 0, 0.4693462876894691, 0.015058496635846134], 1], [], [0.06744739413261414, 0.5126895308494568, 0.41986310482025146], 1]"
17807,"[[], [[15.0, 0.43711164542922554, 0.049128643123173055, 0.0, 0, 0.37294834052506354, 0.026369519593407657], 0], [], [0.15685047209262848, 0.6828668117523193, 0.160282701253891], 1]"
17808,"[[], [[17.0, 0.5773216067261029, 0.04062673440492838, 0.0, 0, 0.5514223442818558, 0.01369131215285944], 1], [], [0.06306414306163788, 0.4106738865375519, 0.5262619853019714], 1]"
17809,"[[[13.0, 0.542528506470195, 0.018135193944475655, 1.0, 13, 0.4658055472113748, 0.003245615434231611], 1], [[13.0, 0.32773020985929296, 0.033002363205326346, 0.0, 14, 0.1939666795633874, 0.0031669577718363576], 1], [], [0.05352799594402313, 0.3102804124355316, 0.6361916065216064], 1]"
17810,"[[[17.0, 0.42147445988914795, 0.019385335946515356, 3.0, 13, 0.3445685311443496, 0.0034367957295905207], 1], [], [[17.0, 0.31848658901897664, 0.06585488745105005, 1.0, 11, 0.19971416248763202, 0.01593934330389635], 1], [0.15148678421974182, 0.21304121613502502, 0.6354719996452332], 1]"
17811,"[[[17.0, 0.2915435528649673, 0.045636617262242204, 2.0, 12, 0.1790862688585542, 0.005679617992201979], 1], [], [], [0.06657866388559341, 0.3390163779258728, 0.594404935836792], 1]"
17812,"[[], [[26.0, 0.29946389043744587, 0.06585942762169736, 5.0, 11, 0.16627716578543147, 0.005845268161027475], 1], [], [0.731916606426239, 0.1297065019607544, 0.13837690651416779], 1]"
17813,"[[], [[11.0, 0.440051179117869, 0.04264143217362589, 2.0, 10, 0.29104602256335504, 0.006525399142106105], 1], [], [0.05314482003450394, 0.49177315831184387, 0.4550819993019104], 1]"
17814,"[[[14.0, 0.3687415008053904, 0.0333622993399442, 0.0, 12, 0.23975723969721655, 0.009405646189114429], 1], [], [], [0.20933932065963745, 0.6072339415550232, 0.18342675268650055], 1]"
17815,"[[[21.0, 0.71061670527286, 0.01722294111047789, 0.0, 0, 0.6933102450283924, 0.005770744067665975], 1], [], [], [0.07683935761451721, 0.6398694515228271, 0.28329116106033325], 1]"
17816,"[[], [[12.0, 0.47309909674493567, 0.04496479228879593, 1.0, 3, 0.36812375760199967, 0.007231910778292882], 1], [], [0.05320337414741516, 0.1661725789308548, 0.7806240320205688], 1]"
17817,"[[], [[20.0, 0.5483826437903397, 0.020619562532876827, 0.0, 10, 0.5224029596570556, -665212.3177921243], 1], [], [0.5354312658309937, 0.28463515639305115, 0.1799335926771164], 1]"
17818,"[[[11.0, 0.4609693997474443, 0.014242035442512435, 1.0, 11, 0.3586244068895527, 0.003144053826172082], 1], [[11.0, 0.6385843721447207, 0.017033055839611882, 0.0, 0, 0.6025600718616663, 0.00541091189448499], 1], [], [0.4152939021587372, 0.4111252725124359, 0.1735808253288269], 1]"
17819,"[[], [[11.0, 0.36146774405875404, 0.039633728596122825, 2.0, 6, 0.17878965430652047, 0.0033901188074744524], 1], [], [0.05345102399587631, 0.3421483635902405, 0.6044005751609802], 1]"
17820,"[[[15.0, 0.29141295563316294, 0.043270919208482486, 0.0, 10, 0.14864268585131896, 0.010842119437018651], 1], [], [], [0.050417859107255936, 0.16474145650863647, 0.7848407030105591], 1]"
17821,"[[[15.0, 0.25661633464436606, 0.0488477785181948, 1.0, 23, 0.1835734343585398, 7.346095552269089], 1], [], [], [0.0746379941701889, 0.2628820836544037, 0.6624799370765686], 1]"
17822,"[[], [[16.0, 0.7460604797074665, 0.01581803985053302, 0.0, 0, 0.7347476631494158, 0.004205522830584531], 0], [], [0.05381915718317032, 0.17278984189033508, 0.7733910083770752], 1]"
17823,"[[[11.0, 0.5430703796490706, 0.012054104270754784, 1.0, 7, 0.5047735879246893, 0.0013965477141733402], 1], [], [], [0.11668353527784348, 0.790962815284729, 0.09235364198684692], 1]"
17824,"[[[11.0, 0.39253458367936517, 0.045534863827650714, 3.0, 7, 0.30660011497504314, 0.003313328534059101], 1], [], [], [0.10762779414653778, 0.5911139845848083, 0.3012582063674927], 1]"
17825,"[[[11.0, 0.6060609607496673, 0.02279350806152734, 0.0, 0, 0.47442825473506983, 0.012102654862161525], 1], [], [], [0.052830956876277924, 0.2452034205198288, 0.7019656300544739], 1]"
17826,"[[[10.0, 0.257006803072939, 0.06768127397972226, 2.0, 12, 0.1328032718174082, 0.005907755589033959], 0], [[10.0, 0.32102993175825095, 0.09160582710336017, 1.0, 9, 0.17013757415120534, 0.020229463729847994], 1], [], [0.7089887857437134, 0.16434945166110992, 0.1266617625951767], 1]"
17827,"[[[23.0, 0.3602612918625789, 0.02106020392407259, 1.0, 11, 0.23660607084143667, 0.0013135394870698557], 1], [], [], [0.8783930540084839, 0.06454670429229736, 0.057060256600379944], 1]"
17828,"[[[17.0, 0.564369535298508, 0.04364202178195139, 0.0, 2, 0.49270281660273635, 0.008987109477999444], 1], [[17.0, 0.33329870509076653, 0.04742876294561047, 2.0, 8, 0.16830563280948516, 0.007984719212477035], 1], [], [0.5941487550735474, 0.13062109053134918, 0.27523013949394226], 1]"
17829,"[[[23.0, 0.46550921865669015, 0.04869064806250971, 1.0, 11, 0.4271979563588557, 0.015386330698865944], 0], [], [[23.0, 0.46550921865669015, 0.05927747439337186, 1.0, 11, 0.4271979563588557, 13.716780556629844], 1], [0.2742977738380432, 0.6093711853027344, 0.11633102595806122], 1]"
17830,"[[[24.0, 0.6859163082342049, 0.02539735941532161, 0.0, 0, 0.6764903002788238, 0.009951432210409283], 1], [], [], [0.059434108436107635, 0.5159387588500977, 0.4246271550655365], 1]"
17831,"[[[24.0, 0.6859163082342049, 0.02539735941532161, 0.0, 0, 0.6764903002788238, 0.009951432210409283], 1], [], [], [0.13002774119377136, 0.5111219882965088, 0.35885030031204224], 1]"
17832,"[[], [[12.0, 0.7792253135070971, 0.0064695448248240925, 3.0, 7, 0.7727880994616126, 0.0030386323672487755], 1], [], [0.12524092197418213, 0.2586233615875244, 0.6161357164382935], 1]"
17833,"[[[15.0, 0.4447572569713146, 0.012101641387562463, 3.0, 19, 0.38501285882790226, 0.001901309152118771], 1], [], [], [0.7398212552070618, 0.13770124316215515, 0.12247749418020248], 1]"
17834,"[[], [[16.0, 0.33915419234875654, 0.04346551122292124, 4.0, 14, 0.19411699411699412, 0.004563770551730069], 1], [], [0.07400662451982498, 0.5313705801963806, 0.3946227729320526], 1]"
17835,"[[[13.0, 0.7333703755156101, 0.002007077274792505, 0.0, 0, 0.6554662636697658, 0.0012771345098172788], 1], [[13.0, 0.4982910933658906, 0.012175739489389483, 1.0, 7, 0.3212937182958923, 0.002949040048863077], 1], [], [0.05049318075180054, 0.11702775210142136, 0.8324790596961975], 1]"
17836,"[[[12.0, 0.39826071485620157, 0.019960604844350277, 5.0, 13, 0.2775802352544642, 0.00474878507417698], 1], [], [], [0.24152496457099915, 0.6817517876625061, 0.07672324031591415], 1]"
17837,"[[], [[15.0, 0.5172348913806785, 0.038199868521412765, 0.0, 0, 0.48104585671722777, 0.016880205019878632], 1], [], [0.11522994190454483, 0.6498198509216309, 0.23495018482208252], 1]"
17838,"[[], [[26.0, 0.2858931480664698, 0.05704238382025966, 1.0, 11, 0.16920095611622754, 0.011323325443149039], 1], [], [0.05347443372011185, 0.24455703794956207, 0.7019685506820679], 1]"
17839,"[[[15.0, 0.6995911626122553, 0.015738116025385544, 1.0, 1, 0.6737856751948631, 0.005415966997488433], 1], [], [], [0.06046205386519432, 0.36280906200408936, 0.576728880405426], 1]"
17840,"[[[14.0, 0.4089304696913441, 0.011603948568353697, 1.0, 13, 0.2572994373925862, 0.002706202100549699], 0], [], [], [0.7581762075424194, 0.10904069244861603, 0.13278311491012573], 1]"
17841,"[[[20.0, 0.6417368966908651, 0.008615741283348605, 0.0, 2, 0.5540036995186225, 0.002553977634289131], 1], [], [], [0.06730242073535919, 0.49085676670074463, 0.441840797662735], 1]"
17842,"[[[14.0, 0.5633073837688333, 0.013969519578270976, 1.0, 9, 0.48521978863531934, 0.0024951382018065967], 1], [], [], [0.06649252772331238, 0.279326856136322, 0.6541805863380432], 1]"
17843,"[[[17.0, 0.47268110948303865, 0.011994918335040928, 3.0, 17, 0.4199544943190245, 0.0017610531569721036], 1], [], [], [0.10184108465909958, 0.6804487705230713, 0.21771016716957092], 1]"
17844,"[[], [[25.0, 0.30491550009328405, 0.05523397425897213, 5.0, 15, 0.21454693214140594, 0.011992006097266712], 1], [], [0.05949157476425171, 0.39185091853141785, 0.5486574769020081], 1]"
17845,"[[], [[25.0, 0.5203209137594776, 0.01813966789277803, 1.0, 7, 0.4989027681269492, 0.003658040889464771], 1], [], [0.07325426489114761, 0.7095438241958618, 0.21720193326473236], 1]"
17846,"[[], [[21.0, 0.43764210703395173, 0.02139061972994405, 2.0, 10, 0.3205594489189068, 0.0037388878461286842], 1], [], [0.7298683524131775, 0.14205880463123322, 0.1280728578567505], 1]"
17847,"[[], [[18.0, 0.38655355051303625, 0.037587363814007034, 4.0, 10, 0.2682275548639233, 0.008955956984271604], 1], [], [0.06337715685367584, 0.36453866958618164, 0.5720841884613037], 1]"
17848,"[[], [[23.0, 0.3347325074401389, 0.10048685756138862, 1.0, 11, 0.22528116475431978, 0.009106581667091317], 1], [], [0.05716712400317192, 0.45274579524993896, 0.49008709192276], 1]"
17849,"[[], [[10.0, 0.6658876070461789, 0.01457307972238597, 1.0, 1, 0.5952410585985676, 0.0040852718728747964], 1], [], [0.8789459466934204, 0.0801139548420906, 0.04094007611274719], 1]"
17850,"[[[12.0, 0.5148062885232764, 0.017587974288393822, 3.0, 7, 0.44485892527181, 0.004453438647655944], 1], [], [[12.0, 0.3670092530176983, 0.07686800927025102, 1.0, 3, 0.22842035690680768, 0.017973654967960166], 1], [0.15045465528964996, 0.43176454305648804, 0.4177808165550232], 1]"
17851,"[[[26.0, 0.4727191796855207, 0.01414320540485532, 1.0, 21, 0.4026147090806081, 0.004621220429999487], 1], [], [], [0.7603580355644226, 0.12046843767166138, 0.11917351931333542], 1]"
17852,"[[[13.0, 0.6249664840924827, 0.012649340822723789, 0.0, 10, 0.5974830180238513, 0.0034908959445121993], 1], [], [], [0.13779482245445251, 0.4751376807689667, 0.3870674967765808], 1]"
17853,"[[], [[22.0, 0.4431256427912635, 0.025545055406695, 2.0, 16, 0.3960521816249467, 0.013782906914232661], 1], [], [0.8342569470405579, 0.05474260821938515, 0.1110004410147667], 1]"
17854,"[[[17.0, 0.42155756748436757, 0.02493694185742587, 1.0, 17, 0.3875072171056757, 0.008381743907769247], 1], [], [], [0.08311060816049576, 0.8417989611625671, 0.07509041577577591], 1]"
17855,"[[[12.0, 0.5495127085508532, 0.04015541225617369, 0.0, 0, 0.43188055093183436, 0.011182541613049216], 1], [], [], [0.08681013435125351, 0.5010731220245361, 0.41211673617362976], 1]"
17856,"[[[11.0, 0.707189879549498, 0.013808393216583796, 4.0, 10, 0.6991378013147463, 0.005809153211104975], 1], [], [], [0.9094160795211792, 0.06994281709194183, 0.02064111828804016], 1]"
17857,"[[], [], [[11.0, 0.4483200837860631, 0.04263904875988084, 3.0, 5, 0.365006737233483, 0.007515647166136456], 1], [0.07554063200950623, 0.3080827295780182, 0.6163766384124756], 1]"
17858,"[[], [[16.0, 0.3631848784200103, 0.08156992821944367, 0.0, 0, 0.21824713278270982, 0.0217417306300653], 1], [], [0.13147768378257751, 0.7714471220970154, 0.09707517921924591], 1]"
17859,"[[], [[23.0, 0.3482168246753546, 0.05067494725798215, 3.0, 15, 0.25232202486180094, 0.010111884031479482], 1], [], [0.04722389206290245, 0.14115872979164124, 0.811617374420166], 1]"
17860,"[[], [[8.0, 0.4735660883970622, 0.04263790934512696, 1.0, 5, 0.3063284538309681, 0.00307816627511171], 1], [], [0.08408223092556, 0.5102977752685547, 0.4056200087070465], 1]"
17861,"[[], [[31.0, 0.3676031653524942, 0.04226551508327501, 5.0, 15, 0.26131297496570904, 0.008614558799559626], 1], [], [0.3595364987850189, 0.4433809816837311, 0.1970825046300888], 1]"
