,Eventdata
90,"[[[19.0, 0.2380057398187821, 0.05438994051437189, 0.0, 22, 0.11461125548986008, 0.007239478536137272], 0], [[19.0, 0.4593937452345335, 0.01791039710716748, 4.0, 14, 0.35322297200107566, 0.003921974952516286], 1], [], [0.21681009232997894, 0.6274701952934265, 0.15571972727775574], 0]"
91,"[[], [], [], [0.39545938372612, 0.3725907504558563, 0.23194986581802368], 0]"
92,"[[[14.0, 0.3662376048644346, 0.05060922875194142, 4.0, 10, 0.1740174675726123, 0.006317338346810242], 0], [], [], [0.0634998306632042, 0.1984584480524063, 0.7380416989326477], 0]"
93,"[[[12.0, 0.30243662068809324, 0.03600933354066177, 1.0, 21, 0.1809793725598472, 0.011164524224619226], 0], [], [], [0.14986993372440338, 0.7310501337051392, 0.11907991766929626], 0]"
94,"[[], [[21.0, 0.2528458345320781, 0.07085007708379751, 1.0, 13, 0.10883771264798398, 0.010649617120825775], 0], [], [0.49798133969306946, 0.3486837148666382, 0.15333494544029236], 0]"
95,"[[], [[18.0, 0.526687492836202, 0.049189344927570045, 0.0, 0, 0.4018299269914231, 0.009979233751458793], 0], [[18.0, 0.3828553893837477, 0.08850625813793955, 2.0, 10, 0.2749013788320569, -327257.37638255494], 1], [0.07480969280004501, 0.4709516167640686, 0.4542386829853058], 0]"
96,"[[[17.0, 0.5105433764946493, 0.0369253601769553, 0.0, 0, 0.3624617213033574, 0.010173915031966928], 1], [], [], [0.056525252759456635, 0.44596993923187256, 0.4975048005580902], 0]"
97,"[[], [[15.0, 0.3636958905460541, 0.08007220234809818, 2.0, 4, 0.2859784283513097, 0.01296438368669346], 0], [], [0.09951076656579971, 0.6062344908714294, 0.29425475001335144], 0]"
98,"[[], [[10.0, 0.5431104577344452, 0.037149217042193414, 0.0, 0, 0.48833269903810994, 0.007158814439676649], 1], [], [0.23975855112075806, 0.6518541574478149, 0.10838727653026581], 0]"
99,"[[], [[23.0, 0.28477014315238774, 0.09342726088690548, 5.0, 13, 0.17072791299551685, 0.01730208688874339], 0], [], [0.33727383613586426, 0.5188305377960205, 0.14389561116695404], 0]"
100,"[[[22.0, 0.3512963261717575, 0.019655775897634738, 1.0, 25, 0.21399612524309752, 0.006198583317243615], 1], [], [], [0.39768490195274353, 0.48929089307785034, 0.11302422732114792], 0]"
101,"[[[17.0, 0.40972628788474924, 0.01955060850622509, 0.0, 8, 0.32086600095603374, 0.0024882820148337866], 0], [], [], [0.13620205223560333, 0.7449546456336975, 0.11884329468011856], 0]"
102,"[[], [], [], [0.11472267657518387, 0.7360169291496277, 0.14926041662693024], 0]"
103,"[[[19.0, 0.3559221622152987, 0.013064280456960639, 2.0, 20, 0.29335479347117566, 0.003879375419036928], 1], [[19.0, 0.4598543119416205, 0.025680894695125127, 1.0, 11, 0.4155654543926423, 0.0037012929664404404], 0], [], [0.3449900150299072, 0.5253671407699585, 0.12964282929897308], 0]"
104,"[[[17.0, 0.28026800295522214, 0.05861459204384305, 1.0, 17, 0.21723958828650228, 0.015710457422169536], 1], [], [[17.0, 0.3229278522502014, 0.06376603438536918, 1.0, 19, 0.2289576314171792, 0.012827971164692776], 0], [0.5740063190460205, 0.2702556848526001, 0.155737966299057], 0]"
105,"[[], [[22.0, 0.30491531138916866, 0.048779300952949314, 4.0, 18, 0.16398647557191953, 0.00563856747597544], 1], [], [0.7583631277084351, 0.1427617073059082, 0.09887513518333435], 0]"
